col_date,col_mois,col_saison,col_mode_transport,col_ville,col_capacite_places,col_capacite_debout,col_capacite_totale,col_taux_occupation_moyen,col_voyageurs_moyen,col_voyageurs_max,col_nb_services_jour,col_km_parcourus_mensuel,col_source
2024-03-02 00:00:00,6.57,4.61,Métro,Nice,120,5,5,8.59,1.67,8.14,2.62,2.51,Météo-France
2024-05-31 00:00:00,7.08,3.41,Tramway,Toulouse,50,800,5,3.72,2.93,5.67,8.64,5.0,RATP_Open_Data_2024
2024-11-12 00:00:00,1.4,6.46,Métro,Paris,120,800,800,1.39,8.43,3.74,5.23,5.96,Météo-France
2024-02-02 00:00:00,7.04,3.72,Métro,Lille,120,800,5,2.9,7.74,8.26,5.56,4.16,Météo-France
2024-09-09 00:00:00,1.62,4.47,Transilien,Marseille,120,50,5,1.39,6.27,6.55,4.19,5.99,Airparif
2024-04-25 00:00:00,1.21,4.54,TGV,Lille,800,50,120,1.84,8.63,6.1,5.0,3.99,SNCF_Open_Data
2024-04-04 00:00:00,6.44,6.56,Bus RATP,Lyon,800,50,120,5.13,5.76,5.38,5.84,2.53,SNCF_Open_Data
2024-05-12 00:00:00,5.82,7.85,Tramway,Nantes,120,350,350,2.46,1.21,6.27,2.3,3.78,RATP_Open_Data_2024
2024-08-03 00:00:00,4.01,4.21,Métro,Montpellier,800,800,120,1.25,7.73,5.05,4.93,8.38,Airparif
2024-08-25 00:00:00,6.88,7.98,Tramway,Strasbourg,50,120,50,6.62,7.49,7.19,7.24,4.11,Météo-France
2024-11-02 00:00:00,8.57,3.92,TGV,Montpellier,120,800,5,4.75,1.79,5.67,5.69,2.57,Data.gouv.fr
2024-07-11 00:00:00,1.53,2.67,TGV,Lille,5,50,5,8.46,3.34,4.23,4.54,5.95,RATP_Open_Data_2024
2024-10-06 00:00:00,3.01,1.39,TGV,Montpellier,350,50,50,1.43,8.16,1.5,4.26,6.97,Météo-France
2024-06-22 00:00:00,5.82,6.2,RER,Nice,350,350,800,3.73,8.11,5.01,2.95,5.83,RATP_Open_Data_2024
2024-07-16 00:00:00,5.41,4.84,TGV,Bordeaux,50,50,120,6.64,8.54,5.9,5.37,4.63,Airparif
2024-08-20 00:00:00,4.79,6.65,TER,Nantes,120,120,5,6.84,8.12,5.47,7.12,5.96,Data.gouv.fr
2024-04-18 00:00:00,7.75,3.75,TGV,Toulouse,800,5,50,3.74,5.84,8.09,5.08,3.35,Météo-France
2024-10-10 00:00:00,5.09,3.64,Bus RATP,Nantes,800,5,5,2.61,6.28,7.58,2.42,2.71,Airparif
2024-10-08 00:00:00,6.86,6.53,RER,Marseille,5,50,50,4.07,4.02,3.88,1.61,8.42,Data.gouv.fr
2024-10-01 00:00:00,5.47,2.35,Transilien,Strasbourg,350,50,5,7.37,6.2,2.58,6.34,6.17,Data.gouv.fr
2024-07-04 00:00:00,8.71,6.61,Tramway,Lyon,5,120,120,7.5,7.6,6.41,5.32,1.28,SNCF_Open_Data
2024-01-26 00:00:00,4.57,2.2,Transilien,Lille,350,50,50,5.63,1.93,1.23,6.32,2.12,Airparif
2024-09-06 00:00:00,1.96,1.54,Bus RATP,Nice,5,120,120,5.2,8.25,3.88,6.79,4.72,Airparif
2024-07-08 00:00:00,3.94,4.92,RER,Bordeaux,50,50,5,3.76,6.03,7.96,7.81,1.81,Météo-France
2024-12-25 00:00:00,7.17,4.6,Transilien,Nantes,350,50,5,3.21,6.87,4.37,6.14,8.32,RATP_Open_Data_2024
2024-03-09 00:00:00,5.31,1.75,Transilien,Nantes,120,50,120,5.43,3.9,6.42,6.12,5.65,RATP_Open_Data_2024
2024-11-13 00:00:00,1.43,5.15,RER,Montpellier,50,800,120,7.24,8.44,7.41,2.65,8.36,Data.gouv.fr
